iter	Passed	Remaining
0	5	1687
1	11	1700
2	17	1704
3	22	1679
4	28	1669
5	34	1669
6	39	1646
7	45	1646
8	50	1647
9	56	1636
10	61	1625
11	67	1627
12	73	1629
13	79	1614
14	84	1607
15	89	1596
16	95	1586
17	100	1581
18	106	1576
19	112	1572
20	117	1567
21	123	1564
22	129	1557
23	134	1549
24	140	1542
25	145	1534
26	151	1530
27	157	1525
28	162	1522
29	168	1518
30	174	1512
31	180	1507
32	185	1500
33	190	1492
34	196	1490
35	202	1486
36	208	1484
37	214	1481
38	220	1476
39	226	1471
40	232	1466
41	238	1463
42	243	1456
43	249	1451
44	255	1445
45	261	1441
46	266	1435
47	272	1429
48	278	1424
49	284	1420
50	290	1417
51	296	1412
52	302	1410
53	308	1406
54	315	1404
55	322	1404
56	329	1406
57	337	1406
58	342	1400
59	348	1395
60	354	1388
61	360	1383
62	367	1381
63	372	1374
64	378	1369
65	384	1362
66	389	1356
67	396	1351
68	401	1344
69	407	1339
70	413	1333
71	419	1327
72	425	1322
73	431	1316
74	436	1310
75	442	1304
76	449	1300
77	454	1294
78	461	1290
79	467	1285
80	474	1282
81	480	1278
82	487	1274
83	494	1270
84	500	1266
85	507	1262
86	514	1259
87	521	1255
88	528	1252
89	534	1248
90	541	1244
91	548	1240
92	555	1235
93	561	1231
94	568	1227
95	575	1222
96	582	1218
97	589	1214
98	595	1209
99	602	1204
100	609	1200
101	615	1195
102	622	1190
103	629	1186
104	636	1181
105	642	1175
106	649	1171
107	656	1166
108	662	1161
109	669	1156
110	676	1151
111	682	1145
112	688	1140
113	695	1134
114	701	1128
115	708	1123
116	714	1118
117	721	1113
118	728	1108
119	735	1102
120	741	1097
121	748	1091
122	754	1085
123	760	1079
124	767	1074
125	774	1069
126	780	1063
127	788	1058
128	794	1053
129	801	1048
130	810	1046
131	819	1043
132	826	1038
133	834	1033
134	840	1027
135	848	1022
136	855	1017
137	861	1011
138	868	1006
139	876	1001
140	882	995
141	890	990
142	896	984
143	903	978
144	910	973
145	917	967
146	924	961
147	930	955
148	936	949
149	942	942
150	949	936
151	956	930
152	962	924
153	968	918
154	975	912
155	980	905
156	987	899
157	993	893
158	1000	887
159	1006	880
160	1013	874
161	1019	868
162	1025	862
163	1032	855
164	1038	849
165	1044	843
166	1051	837
167	1057	830
168	1063	824
169	1069	817
170	1075	811
171	1081	805
172	1088	798
173	1094	792
174	1100	786
175	1107	780
176	1113	774
177	1120	767
178	1126	761
179	1133	755
180	1139	749
181	1145	742
182	1152	736
183	1158	730
184	1164	724
185	1171	717
186	1177	711
187	1184	705
188	1190	699
189	1197	693
190	1203	686
191	1210	680
192	1216	674
193	1223	668
194	1229	662
195	1236	656
196	1243	650
197	1250	644
198	1260	639
199	1266	633
200	1273	627
201	1279	620
202	1285	614
203	1292	608
204	1300	602
205	1307	596
206	1314	590
207	1322	585
208	1329	579
209	1337	573
210	1344	567
211	1352	561
212	1359	555
213	1367	549
214	1375	543
215	1382	537
216	1390	531
217	1397	525
218	1404	519
219	1411	513
220	1418	506
221	1424	500
222	1431	494
223	1438	488
224	1444	481
225	1452	475
226	1459	469
227	1466	463
228	1472	456
229	1479	450
230	1486	444
231	1493	437
232	1500	431
233	1508	425
234	1515	419
235	1523	413
236	1530	406
237	1537	400
238	1545	394
239	1552	388
240	1559	381
241	1566	375
242	1573	369
243	1580	362
244	1587	356
245	1594	350
246	1603	344
247	1610	337
248	1618	331
249	1625	325
250	1632	318
251	1639	312
252	1646	305
253	1654	299
254	1661	293
255	1669	286
256	1677	280
257	1685	274
258	1693	268
259	1701	261
260	1709	255
261	1719	249
262	1727	243
263	1735	236
264	1742	230
265	1750	223
266	1758	217
267	1766	210
268	1773	204
269	1780	197
270	1786	191
271	1792	184
272	1799	177
273	1805	171
274	1811	164
275	1818	158
276	1824	151
277	1831	144
278	1837	138
279	1844	131
280	1850	125
281	1856	118
282	1862	111
283	1869	105
284	1875	98
285	1881	92
286	1888	85
287	1894	78
288	1901	72
289	1908	65
290	1915	59
291	1922	52
292	1928	46
293	1935	39
294	1941	32
295	1947	26
296	1954	19
297	1961	13
298	1967	6
299	1974	0
