model,Accuracy,AUC,CV_AUC
LightGBM,0.9420485175202157,0.8826866282389761,0.8806001154195091
XGBoost,0.942722371967655,0.8808317333890132,0.8796122346494165
Gradient Boosting,0.9407008086253369,0.8776308987835189,0.8770393542696417
CatBoost,0.9414264980302716,0.8762068974766877,0.8772543862440598
Random Forest,0.9396641094754302,0.8612287595704609,0.8585028949071626
Logistic Regression,0.9333920796184947,0.8454029074273585,0.8430297636749288
Decision Tree,0.9367095168981961,0.830844292046457,0.8357675461963767
SVM (RBF kernel),0.9373315363881402,0.796353293208089,0.7856059493654836
K-Nearest Neighbors,0.9327700601285507,0.7806262620128971,0.775532589802252
Naive Bayes,0.11989425668670951,0.5723689087838721,0.5636632770359866
